qnt,batch_index,c1_p,c2_p,c3_p,c4_p,c5_p,c7_p,c1_p_normalized,c2_p_normalized,c3_p_normalized,c4_p_normalized,c5_p_normalized,c7_p_normalized,c1_real,c2_real,c3_real,c4_real,c5_real,c7_real
ACC_syn,636,0.71,0.96,0.89,0.98,0.89,0.79,0.14,0.18,0.17,0.19,0.17,0.15,0.29,0.03,0.05,0.3,0.26,0.07
PACC_syn,636,0.7,0.95,0.89,0.9,0.87,0.73,0.14,0.19,0.18,0.18,0.17,0.14,0.29,0.03,0.05,0.3,0.26,0.07
X_syn,636,0.62,0.85,0.65,0.23,0.31,0.34,0.21,0.28,0.22,0.08,0.1,0.11,0.29,0.03,0.05,0.3,0.26,0.07
MAX_syn,636,0.62,0.85,0.65,0.23,0.31,0.34,0.21,0.28,0.22,0.08,0.1,0.11,0.29,0.03,0.05,0.3,0.26,0.07
T50_syn,636,0.46,0.96,0.96,1.0,1.0,0.83,0.09,0.18,0.18,0.19,0.19,0.16,0.29,0.03,0.05,0.3,0.26,0.07
MS_syn,636,0.7,0.95,0.89,0.98,0.89,0.74,0.14,0.18,0.17,0.19,0.17,0.14,0.29,0.03,0.05,0.3,0.26,0.07
MS2_syn,636,0.7,0.95,0.89,0.97,0.89,0.75,0.14,0.18,0.17,0.19,0.17,0.15,0.29,0.03,0.05,0.3,0.26,0.07
SMM_syn,636,0.75,1.0,0.98,0.99,0.95,0.96,0.13,0.18,0.17,0.18,0.17,0.17,0.29,0.03,0.05,0.3,0.26,0.07
HDy_syn,636,0.59,0.93,0.92,1.0,0.98,0.86,0.11,0.18,0.17,0.19,0.19,0.16,0.29,0.03,0.05,0.3,0.26,0.07
DyS_cdt,636,0.7,0.97,0.95,1.0,0.83,0.77,0.13,0.18,0.18,0.19,0.16,0.15,0.29,0.03,0.05,0.3,0.26,0.07
ACC_cdt,636,0.27,0.0,0.0,0.98,0.0,0.0,0.22,0.0,0.0,0.78,0.0,0.0,0.29,0.03,0.05,0.3,0.26,0.07
PACC_cdt,636,0.7,0.96,0.92,0.9,0.82,0.75,0.14,0.19,0.18,0.18,0.16,0.15,0.29,0.03,0.05,0.3,0.26,0.07
X_cdt,636,0.28,0.0,0.01,0.23,0.0,0.0,0.54,0.0,0.02,0.44,0.0,0.0,0.29,0.03,0.05,0.3,0.26,0.07
MAX_cdt,636,0.28,0.0,0.01,0.23,0.0,0.0,0.54,0.0,0.01,0.45,0.0,0.0,0.29,0.03,0.05,0.3,0.26,0.07
T50_cdt,636,0.19,0.0,0.0,1.0,0.0,0.0,0.16,0.0,0.0,0.84,0.0,0.0,0.29,0.03,0.05,0.3,0.26,0.07
MS_cdt,636,0.27,0.0,0.0,0.98,0.0,0.0,0.22,0.0,0.0,0.78,0.0,0.0,0.29,0.03,0.05,0.3,0.26,0.07
MS2_cdt,636,0.27,0.0,0.0,0.97,0.0,0.0,0.22,0.0,0.0,0.78,0.0,0.0,0.29,0.03,0.05,0.3,0.26,0.07
SMM_cdt,636,0.7,0.96,0.92,0.99,0.82,0.75,0.14,0.19,0.18,0.19,0.16,0.15,0.29,0.03,0.05,0.3,0.26,0.07
HDy_cdt,636,0.71,0.97,0.97,1.0,0.9,0.86,0.13,0.18,0.18,0.18,0.17,0.16,0.29,0.03,0.05,0.3,0.26,0.07
CC2,636,0.32,0.04,0.11,0.12,0.18,0.23,0.32,0.04,0.11,0.12,0.18,0.23,0.29,0.03,0.05,0.3,0.26,0.07
PWK,636,0.32,0.04,0.09,0.23,0.22,0.1,0.32,0.04,0.09,0.23,0.22,0.1,0.29,0.03,0.05,0.3,0.26,0.07
HDx,636,0.13,0.2,0.02,0.28,0.38,0.51,0.13,0.2,0.02,0.28,0.38,0.51,0.29,0.03,0.05,0.3,0.26,0.07
GAC,636,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.29,0.03,0.05,0.3,0.26,0.07
GPAC,636,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.29,0.03,0.05,0.3,0.26,0.07
FM,636,0.95,0.0,0.0,0.0,0.0,0.05,0.95,0.0,0.0,0.0,0.0,0.05,0.29,0.03,0.05,0.3,0.26,0.07
EMQ,636,0.3,0.03,0.02,0.32,0.22,0.11,0.3,0.03,0.02,0.32,0.22,0.11,0.29,0.03,0.05,0.3,0.26,0.07
KDEyHD,636,0.3,0.0,0.06,0.09,0.0,0.55,0.3,0.0,0.06,0.09,0.0,0.55,0.29,0.03,0.05,0.3,0.26,0.07
KDEyCS,636,0.37,0.0,0.0,0.63,0.0,0.0,0.37,0.0,0.0,0.63,0.0,0.0,0.29,0.03,0.05,0.3,0.26,0.07
KDEyML,636,0.38,0.0,0.2,0.02,0.0,0.41,0.38,0.0,0.2,0.02,0.0,0.41,0.29,0.03,0.05,0.3,0.26,0.07
CC,637,0.71,0.96,0.87,1.0,0.93,0.85,0.13,0.18,0.16,0.19,0.17,0.16,0.29,0.03,0.05,0.3,0.26,0.07
PCC,637,0.7,0.95,0.87,0.92,0.88,0.81,0.14,0.18,0.17,0.18,0.17,0.16,0.29,0.03,0.05,0.3,0.26,0.07
ACC,637,0.27,0.0,0.02,0.0,0.0,0.0,0.93,0.0,0.07,0.0,0.0,0.0,0.29,0.03,0.05,0.3,0.26,0.07
PACC,637,0.7,0.96,0.89,1.0,0.85,0.83,0.13,0.18,0.17,0.19,0.16,0.16,0.29,0.03,0.05,0.3,0.26,0.07
T50,637,0.27,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29,0.03,0.05,0.3,0.26,0.07
MAX,637,0.26,0.0,0.05,0.0,0.0,0.0,0.83,0.0,0.17,0.0,0.0,0.0,0.29,0.03,0.05,0.3,0.26,0.07
MS,637,0.27,0.0,0.02,0.0,0.0,0.0,0.93,0.0,0.07,0.0,0.0,0.0,0.29,0.03,0.05,0.3,0.26,0.07
MS2,637,0.27,0.0,0.02,0.0,0.0,0.0,0.92,0.0,0.08,0.0,0.0,0.0,0.29,0.03,0.05,0.3,0.26,0.07
X,637,0.25,0.0,0.08,0.0,0.0,0.0,0.77,0.0,0.23,0.0,0.0,0.0,0.29,0.03,0.05,0.3,0.26,0.07
SMM,637,0.7,0.96,0.89,1.0,0.85,0.83,0.13,0.18,0.17,0.19,0.16,0.16,0.29,0.03,0.05,0.3,0.26,0.07
DyS,637,0.7,0.97,0.9,1.0,0.86,0.88,0.13,0.18,0.17,0.19,0.16,0.17,0.29,0.03,0.05,0.3,0.26,0.07
DySyn,637,0.71,0.95,0.86,1.0,0.97,0.89,0.13,0.18,0.16,0.19,0.18,0.17,0.29,0.03,0.05,0.3,0.26,0.07
HDy,637,0.72,0.97,0.93,1.0,0.94,0.93,0.13,0.18,0.17,0.18,0.17,0.17,0.29,0.03,0.05,0.3,0.26,0.07
ACC_syn,637,0.71,0.96,0.87,1.0,0.93,0.85,0.13,0.18,0.16,0.19,0.17,0.16,0.29,0.03,0.05,0.3,0.26,0.07
PACC_syn,637,0.7,0.95,0.87,0.92,0.88,0.79,0.14,0.19,0.17,0.18,0.17,0.15,0.29,0.03,0.05,0.3,0.26,0.07
X_syn,637,0.56,0.77,0.66,0.29,0.32,0.42,0.19,0.25,0.22,0.1,0.11,0.14,0.29,0.03,0.05,0.3,0.26,0.07
MAX_syn,637,0.56,0.77,0.66,0.29,0.32,0.42,0.19,0.25,0.22,0.1,0.11,0.14,0.29,0.03,0.05,0.3,0.26,0.07
T50_syn,637,0.51,0.96,0.9,1.0,1.0,0.92,0.1,0.18,0.17,0.19,0.19,0.17,0.29,0.03,0.05,0.3,0.26,0.07
MS_syn,637,0.69,0.95,0.87,1.0,0.93,0.82,0.13,0.18,0.17,0.19,0.18,0.16,0.29,0.03,0.05,0.3,0.26,0.07
MS2_syn,637,0.69,0.95,0.87,1.0,0.93,0.8,0.13,0.18,0.17,0.19,0.18,0.15,0.29,0.03,0.05,0.3,0.26,0.07
SMM_syn,637,0.75,1.0,0.95,1.0,0.96,1.0,0.13,0.18,0.17,0.18,0.17,0.18,0.29,0.03,0.05,0.3,0.26,0.07
HDy_syn,637,0.73,0.95,0.86,1.0,0.98,0.91,0.13,0.17,0.16,0.18,0.18,0.17,0.29,0.03,0.05,0.3,0.26,0.07
DyS_cdt,637,0.7,0.97,0.9,1.0,0.86,0.88,0.13,0.18,0.17,0.19,0.16,0.17,0.29,0.03,0.05,0.3,0.26,0.07
ACC_cdt,637,0.27,0.0,0.02,0.0,0.0,0.0,0.93,0.0,0.07,0.0,0.0,0.0,0.29,0.03,0.05,0.3,0.26,0.07
PACC_cdt,637,0.7,0.96,0.89,1.0,0.85,0.83,0.13,0.18,0.17,0.19,0.16,0.16,0.29,0.03,0.05,0.3,0.26,0.07
X_cdt,637,0.25,0.0,0.08,0.0,0.0,0.0,0.77,0.0,0.23,0.0,0.0,0.0,0.29,0.03,0.05,0.3,0.26,0.07
MAX_cdt,637,0.26,0.0,0.05,0.0,0.0,0.0,0.83,0.0,0.17,0.0,0.0,0.0,0.29,0.03,0.05,0.3,0.26,0.07
T50_cdt,637,0.27,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29,0.03,0.05,0.3,0.26,0.07
MS_cdt,637,0.27,0.0,0.02,0.0,0.0,0.0,0.93,0.0,0.07,0.0,0.0,0.0,0.29,0.03,0.05,0.3,0.26,0.07
MS2_cdt,637,0.27,0.0,0.02,0.0,0.0,0.0,0.92,0.0,0.08,0.0,0.0,0.0,0.29,0.03,0.05,0.3,0.26,0.07
SMM_cdt,637,0.7,0.96,0.89,1.0,0.85,0.83,0.13,0.18,0.17,0.19,0.16,0.16,0.29,0.03,0.05,0.3,0.26,0.07
HDy_cdt,637,0.72,0.97,0.93,1.0,0.94,0.93,0.13,0.18,0.17,0.18,0.17,0.17,0.29,0.03,0.05,0.3,0.26,0.07
CC2,637,0.31,0.05,0.14,0.08,0.2,0.22,0.31,0.05,0.14,0.08,0.2,0.22,0.29,0.03,0.05,0.3,0.26,0.07
PWK,637,0.3,0.06,0.12,0.23,0.22,0.07,0.3,0.06,0.12,0.23,0.22,0.07,0.29,0.03,0.05,0.3,0.26,0.07
HDx,637,0.26,0.16,0.06,0.18,0.33,0.43,0.26,0.16,0.06,0.18,0.33,0.43,0.29,0.03,0.05,0.3,0.26,0.07
GAC,637,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.29,0.03,0.05,0.3,0.26,0.07
GPAC,637,1.0,0.0,0.38,1.0,0.0,1.0,1.0,0.0,0.38,1.0,0.0,1.0,0.29,0.03,0.05,0.3,0.26,0.07
FM,637,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.29,0.03,0.05,0.3,0.26,0.07
EMQ,637,0.31,0.03,0.09,0.24,0.26,0.06,0.31,0.03,0.09,0.24,0.26,0.06,0.29,0.03,0.05,0.3,0.26,0.07
KDEyHD,637,0.0,0.0,0.0,0.04,0.24,0.72,0.0,0.0,0.0,0.04,0.24,0.72,0.29,0.03,0.05,0.3,0.26,0.07
KDEyCS,637,0.0,0.0,0.0,0.7,0.0,0.3,0.0,0.0,0.0,0.7,0.0,0.3,0.29,0.03,0.05,0.3,0.26,0.07
KDEyML,637,0.0,0.0,0.0,0.11,0.57,0.32,0.0,0.0,0.0,0.11,0.57,0.32,0.29,0.03,0.05,0.3,0.26,0.07
CC,638,0.71,0.97,0.89,1.0,0.87,0.76,0.14,0.19,0.17,0.19,0.17,0.15,0.29,0.03,0.05,0.3,0.26,0.07
PCC,638,0.72,0.97,0.89,0.9,0.84,0.73,0.14,0.19,0.18,0.18,0.17,0.14,0.29,0.03,0.05,0.3,0.26,0.07
ACC,638,0.27,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29,0.03,0.05,0.3,0.26,0.07
PACC,638,0.71,0.97,0.91,0.9,0.74,0.7,0.14,0.2,0.18,0.18,0.15,0.14,0.29,0.03,0.05,0.3,0.26,0.07
T50,638,0.15,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29,0.03,0.05,0.3,0.26,0.07
MAX,638,0.27,0.0,0.03,0.0,0.0,0.09,0.7,0.0,0.08,0.0,0.0,0.23,0.29,0.03,0.05,0.3,0.26,0.07
MS,638,0.26,0.0,0.0,0.0,0.0,0.01,0.97,0.0,0.0,0.0,0.0,0.03,0.29,0.03,0.05,0.3,0.26,0.07
MS2,638,0.26,0.0,0.0,0.0,0.0,0.01,0.96,0.0,0.0,0.0,0.0,0.04,0.29,0.03,0.05,0.3,0.26,0.07
X,638,0.26,0.0,0.01,0.0,0.0,0.06,0.79,0.0,0.03,0.0,0.0,0.19,0.29,0.03,0.05,0.3,0.26,0.07
SMM,638,0.71,0.97,0.91,0.9,0.74,0.7,0.14,0.2,0.18,0.18,0.15,0.14,0.29,0.03,0.05,0.3,0.26,0.07
DyS,638,0.72,0.97,0.92,0.92,0.74,0.71,0.14,0.2,0.19,0.18,0.15,0.14,0.29,0.03,0.05,0.3,0.26,0.07
DySyn,638,0.69,0.97,0.91,1.0,0.96,0.78,0.13,0.18,0.17,0.19,0.18,0.15,0.29,0.03,0.05,0.3,0.26,0.07
HDy,638,0.73,0.97,0.95,0.97,0.87,0.77,0.14,0.19,0.18,0.18,0.17,0.15,0.29,0.03,0.05,0.3,0.26,0.07
ACC_syn,638,0.71,0.97,0.89,1.0,0.87,0.76,0.14,0.19,0.17,0.19,0.17,0.15,0.29,0.03,0.05,0.3,0.26,0.07
PACC_syn,638,0.72,0.97,0.89,0.9,0.84,0.73,0.14,0.19,0.18,0.18,0.17,0.14,0.29,0.03,0.05,0.3,0.26,0.07
X_syn,638,0.65,0.88,0.69,0.27,0.29,0.32,0.21,0.28,0.22,0.09,0.09,0.1,0.29,0.03,0.05,0.3,0.26,0.07
MAX_syn,638,0.65,0.88,0.69,0.27,0.29,0.32,0.21,0.28,0.22,0.09,0.09,0.1,0.29,0.03,0.05,0.3,0.26,0.07
T50_syn,638,0.46,0.96,0.9,1.0,1.0,0.9,0.09,0.18,0.17,0.19,0.19,0.17,0.29,0.03,0.05,0.3,0.26,0.07
MS_syn,638,0.71,0.97,0.87,1.0,0.87,0.76,0.14,0.19,0.17,0.19,0.17,0.15,0.29,0.03,0.05,0.3,0.26,0.07
MS2_syn,638,0.71,0.97,0.88,1.0,0.87,0.69,0.14,0.19,0.17,0.2,0.17,0.13,0.29,0.03,0.05,0.3,0.26,0.07
SMM_syn,638,0.76,1.0,0.98,0.98,0.92,0.78,0.14,0.18,0.18,0.18,0.17,0.14,0.29,0.03,0.05,0.3,0.26,0.07
HDy_syn,638,0.65,0.96,0.92,1.0,0.97,0.78,0.12,0.18,0.17,0.19,0.18,0.15,0.29,0.03,0.05,0.3,0.26,0.07
DyS_cdt,638,0.72,0.97,0.92,0.92,0.74,0.71,0.14,0.2,0.19,0.18,0.15,0.14,0.29,0.03,0.05,0.3,0.26,0.07
ACC_cdt,638,0.27,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29,0.03,0.05,0.3,0.26,0.07
PACC_cdt,638,0.71,0.97,0.91,0.9,0.74,0.7,0.14,0.2,0.18,0.18,0.15,0.14,0.29,0.03,0.05,0.3,0.26,0.07
X_cdt,638,0.26,0.0,0.01,0.0,0.0,0.06,0.79,0.0,0.03,0.0,0.0,0.19,0.29,0.03,0.05,0.3,0.26,0.07
MAX_cdt,638,0.27,0.0,0.03,0.0,0.0,0.09,0.7,0.0,0.08,0.0,0.0,0.23,0.29,0.03,0.05,0.3,0.26,0.07
T50_cdt,638,0.15,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29,0.03,0.05,0.3,0.26,0.07
MS_cdt,638,0.26,0.0,0.0,0.0,0.0,0.01,0.97,0.0,0.0,0.0,0.0,0.03,0.29,0.03,0.05,0.3,0.26,0.07
MS2_cdt,638,0.26,0.0,0.0,0.0,0.0,0.01,0.96,0.0,0.0,0.0,0.0,0.04,0.29,0.03,0.05,0.3,0.26,0.07
SMM_cdt,638,0.71,0.97,0.91,0.9,0.74,0.7,0.14,0.2,0.18,0.18,0.15,0.14,0.29,0.03,0.05,0.3,0.26,0.07
HDy_cdt,638,0.73,0.97,0.95,0.97,0.87,0.77,0.14,0.19,0.18,0.18,0.17,0.15,0.29,0.03,0.05,0.3,0.26,0.07
CC2,638,0.29,0.03,0.1,0.11,0.21,0.26,0.29,0.03,0.1,0.11,0.21,0.26,0.29,0.03,0.05,0.3,0.26,0.07
PWK,638,0.28,0.03,0.07,0.23,0.26,0.13,0.28,0.03,0.07,0.23,0.26,0.13,0.29,0.03,0.05,0.3,0.26,0.07
HDx,638,0.2,0.24,0.0,0.21,0.44,0.51,0.2,0.24,0.0,0.21,0.44,0.51,0.29,0.03,0.05,0.3,0.26,0.07
GAC,638,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.29,0.03,0.05,0.3,0.26,0.07
GPAC,638,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.29,0.03,0.05,0.3,0.26,0.07
FM,638,0.93,0.0,0.0,0.0,0.0,0.07,0.93,0.0,0.0,0.0,0.0,0.07,0.29,0.03,0.05,0.3,0.26,0.07
EMQ,638,0.28,0.02,0.06,0.23,0.24,0.17,0.28,0.02,0.06,0.23,0.24,0.17,0.29,0.03,0.05,0.3,0.26,0.07
KDEyHD,638,0.29,0.0,0.0,0.0,0.0,0.71,0.29,0.0,0.0,0.0,0.0,0.71,0.29,0.03,0.05,0.3,0.26,0.07
KDEyCS,638,0.36,0.0,0.0,0.59,0.0,0.05,0.36,0.0,0.0,0.59,0.0,0.05,0.29,0.03,0.05,0.3,0.26,0.07
KDEyML,638,0.15,0.0,0.0,0.07,0.0,0.78,0.15,0.0,0.0,0.07,0.0,0.78,0.29,0.03,0.05,0.3,0.26,0.07
CC,639,0.72,0.96,0.87,1.0,0.88,0.82,0.14,0.18,0.17,0.19,0.17,0.16,0.29,0.03,0.05,0.3,0.26,0.07
PCC,639,0.72,0.96,0.86,0.91,0.85,0.75,0.14,0.19,0.17,0.18,0.17,0.15,0.29,0.03,0.05,0.3,0.26,0.07
ACC,639,0.26,0.0,0.02,0.0,0.0,0.0,0.93,0.0,0.07,0.0,0.0,0.0,0.29,0.03,0.05,0.3,0.26,0.07
PACC,639,0.71,0.97,0.88,0.93,0.76,0.75,0.14,0.19,0.18,0.19,0.15,0.15,0.29,0.03,0.05,0.3,0.26,0.07
T50,639,0.26,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29,0.03,0.05,0.3,0.26,0.07
MAX,639,0.26,0.01,0.06,0.0,0.0,0.03,0.71,0.02,0.17,0.0,0.0,0.09,0.29,0.03,0.05,0.3,0.26,0.07
MS,639,0.26,0.0,0.01,0.0,0.0,0.0,0.95,0.0,0.05,0.0,0.0,0.0,0.29,0.03,0.05,0.3,0.26,0.07
MS2,639,0.26,0.0,0.02,0.0,0.0,0.0,0.94,0.0,0.06,0.0,0.0,0.0,0.29,0.03,0.05,0.3,0.26,0.07
X,639,0.25,0.01,0.04,0.0,0.0,0.01,0.81,0.02,0.14,0.0,0.0,0.03,0.29,0.03,0.05,0.3,0.26,0.07
SMM,639,0.71,0.97,0.88,0.93,0.76,0.75,0.14,0.19,0.18,0.19,0.15,0.15,0.29,0.03,0.05,0.3,0.26,0.07
DyS,639,0.72,0.96,0.89,0.94,0.78,0.76,0.14,0.19,0.18,0.19,0.15,0.15,0.29,0.03,0.05,0.3,0.26,0.07
DySyn,639,0.75,0.95,0.89,1.0,0.94,0.82,0.14,0.18,0.17,0.19,0.18,0.15,0.29,0.03,0.05,0.3,0.26,0.07
HDy,639,0.73,0.97,0.93,0.96,0.86,0.85,0.14,0.18,0.18,0.18,0.16,0.16,0.29,0.03,0.05,0.3,0.26,0.07
ACC_syn,639,0.72,0.96,0.87,1.0,0.88,0.82,0.14,0.18,0.17,0.19,0.17,0.16,0.29,0.03,0.05,0.3,0.26,0.07
PACC_syn,639,0.72,0.96,0.86,0.91,0.85,0.75,0.14,0.19,0.17,0.18,0.17,0.15,0.29,0.03,0.05,0.3,0.26,0.07
X_syn,639,0.57,0.91,0.62,0.19,0.32,0.35,0.19,0.31,0.21,0.06,0.11,0.12,0.29,0.03,0.05,0.3,0.26,0.07
MAX_syn,639,0.57,0.91,0.62,0.19,0.32,0.35,0.19,0.31,0.21,0.06,0.11,0.12,0.29,0.03,0.05,0.3,0.26,0.07
T50_syn,639,0.51,0.94,0.87,1.0,1.0,0.88,0.1,0.18,0.17,0.19,0.19,0.17,0.29,0.03,0.05,0.3,0.26,0.07
MS_syn,639,0.72,0.96,0.87,1.0,0.88,0.82,0.14,0.18,0.17,0.19,0.17,0.16,0.29,0.03,0.05,0.3,0.26,0.07
MS2_syn,639,0.72,0.96,0.87,1.0,0.87,0.82,0.14,0.18,0.17,0.19,0.17,0.16,0.29,0.03,0.05,0.3,0.26,0.07
SMM_syn,639,0.77,1.0,0.94,1.0,0.93,0.81,0.14,0.18,0.17,0.18,0.17,0.15,0.29,0.03,0.05,0.3,0.26,0.07
HDy_syn,639,0.8,0.92,0.88,1.0,0.97,0.84,0.15,0.17,0.16,0.18,0.18,0.16,0.29,0.03,0.05,0.3,0.26,0.07
DyS_cdt,639,0.72,0.96,0.89,0.94,0.78,0.76,0.14,0.19,0.18,0.19,0.15,0.15,0.29,0.03,0.05,0.3,0.26,0.07
ACC_cdt,639,0.26,0.0,0.02,0.0,0.0,0.0,0.93,0.0,0.07,0.0,0.0,0.0,0.29,0.03,0.05,0.3,0.26,0.07
PACC_cdt,639,0.71,0.97,0.88,0.93,0.76,0.75,0.14,0.19,0.18,0.19,0.15,0.15,0.29,0.03,0.05,0.3,0.26,0.07
X_cdt,639,0.25,0.01,0.04,0.0,0.0,0.01,0.81,0.02,0.14,0.0,0.0,0.03,0.29,0.03,0.05,0.3,0.26,0.07
MAX_cdt,639,0.26,0.01,0.06,0.0,0.0,0.03,0.71,0.02,0.17,0.0,0.0,0.09,0.29,0.03,0.05,0.3,0.26,0.07
T50_cdt,639,0.26,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29,0.03,0.05,0.3,0.26,0.07
MS_cdt,639,0.26,0.0,0.01,0.0,0.0,0.0,0.95,0.0,0.05,0.0,0.0,0.0,0.29,0.03,0.05,0.3,0.26,0.07
MS2_cdt,639,0.26,0.0,0.02,0.0,0.0,0.0,0.94,0.0,0.06,0.0,0.0,0.0,0.29,0.03,0.05,0.3,0.26,0.07
SMM_cdt,639,0.71,0.97,0.88,0.93,0.76,0.75,0.14,0.19,0.18,0.19,0.15,0.15,0.29,0.03,0.05,0.3,0.26,0.07
HDy_cdt,639,0.73,0.97,0.93,0.96,0.86,0.85,0.14,0.18,0.18,0.18,0.16,0.16,0.29,0.03,0.05,0.3,0.26,0.07
CC2,639,0.31,0.04,0.13,0.11,0.18,0.23,0.31,0.04,0.13,0.11,0.18,0.23,0.29,0.03,0.05,0.3,0.26,0.07
PWK,639,0.29,0.04,0.08,0.26,0.2,0.13,0.29,0.04,0.08,0.26,0.2,0.13,0.29,0.03,0.05,0.3,0.26,0.07
HDx,639,0.18,0.2,0.03,0.25,0.37,0.48,0.18,0.2,0.03,0.25,0.37,0.48,0.29,0.03,0.05,0.3,0.26,0.07
GAC,639,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.29,0.03,0.05,0.3,0.26,0.07
GPAC,639,1.0,0.0,1.0,1.0,0.0,0.89,1.0,0.0,1.0,1.0,0.0,0.89,0.29,0.03,0.05,0.3,0.26,0.07
FM,639,0.16,0.24,0.0,0.0,0.0,0.6,0.16,0.24,0.0,0.0,0.0,0.6,0.29,0.03,0.05,0.3,0.26,0.07
EMQ,639,0.28,0.03,0.09,0.23,0.22,0.14,0.28,0.03,0.09,0.23,0.22,0.14,0.29,0.03,0.05,0.3,0.26,0.07
KDEyHD,639,0.12,0.0,0.09,0.0,0.04,0.76,0.12,0.0,0.09,0.0,0.04,0.76,0.29,0.03,0.05,0.3,0.26,0.07
KDEyCS,639,0.0,0.0,0.0,0.58,0.0,0.42,0.0,0.0,0.0,0.58,0.0,0.42,0.29,0.03,0.05,0.3,0.26,0.07
KDEyML,639,0.0,0.0,0.57,0.0,0.0,0.43,0.0,0.0,0.57,0.0,0.0,0.43,0.29,0.03,0.05,0.3,0.26,0.07
CC,640,0.69,0.83,0.85,0.99,0.96,0.87,0.13,0.16,0.16,0.19,0.18,0.17,0.32,0.15,0.05,0.31,0.06,0.11
PCC,640,0.7,0.83,0.86,0.91,0.9,0.82,0.14,0.17,0.17,0.18,0.18,0.16,0.32,0.15,0.05,0.31,0.06,0.11
ACC,640,0.29,0.08,0.04,0.0,0.0,0.0,0.71,0.18,0.11,0.0,0.0,0.0,0.32,0.15,0.05,0.31,0.06,0.11
PACC,640,0.69,0.83,0.88,1.0,0.94,0.86,0.13,0.16,0.17,0.19,0.18,0.17,0.32,0.15,0.05,0.31,0.06,0.11
T50,640,0.14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.32,0.15,0.05,0.31,0.06,0.11
MAX,640,0.3,0.12,0.05,0.0,0.0,0.0,0.63,0.26,0.11,0.0,0.0,0.0,0.32,0.15,0.05,0.31,0.06,0.11
MS,640,0.28,0.08,0.02,0.0,0.0,0.0,0.74,0.21,0.06,0.0,0.0,0.0,0.32,0.15,0.05,0.31,0.06,0.11
MS2,640,0.28,0.08,0.02,0.0,0.0,0.0,0.74,0.21,0.06,0.0,0.0,0.0,0.32,0.15,0.05,0.31,0.06,0.11
X,640,0.3,0.12,0.03,0.0,0.0,0.0,0.66,0.27,0.07,0.0,0.0,0.0,0.32,0.15,0.05,0.31,0.06,0.11
SMM,640,0.69,0.83,0.88,1.0,0.94,0.86,0.13,0.16,0.17,0.19,0.18,0.17,0.32,0.15,0.05,0.31,0.06,0.11
DyS,640,0.7,0.84,0.89,0.99,0.95,0.88,0.13,0.16,0.17,0.19,0.18,0.17,0.32,0.15,0.05,0.31,0.06,0.11
DySyn,640,0.62,0.81,0.88,1.0,0.98,0.89,0.12,0.16,0.17,0.19,0.19,0.17,0.32,0.15,0.05,0.31,0.06,0.11
HDy,640,0.73,0.85,0.94,1.0,0.98,0.94,0.13,0.16,0.17,0.18,0.18,0.17,0.32,0.15,0.05,0.31,0.06,0.11
ACC_syn,640,0.69,0.83,0.85,0.99,0.96,0.87,0.13,0.16,0.16,0.19,0.18,0.17,0.32,0.15,0.05,0.31,0.06,0.11
PACC_syn,640,0.69,0.83,0.86,0.91,0.9,0.82,0.14,0.17,0.17,0.18,0.18,0.16,0.32,0.15,0.05,0.31,0.06,0.11
X_syn,640,0.66,0.79,0.58,0.38,0.3,0.49,0.21,0.25,0.18,0.12,0.09,0.15,0.32,0.15,0.05,0.31,0.06,0.11
MAX_syn,640,0.66,0.79,0.58,0.38,0.3,0.49,0.21,0.25,0.18,0.12,0.09,0.15,0.32,0.15,0.05,0.31,0.06,0.11
T50_syn,640,0.51,0.7,0.88,1.0,1.0,0.94,0.1,0.14,0.18,0.2,0.2,0.19,0.32,0.15,0.05,0.31,0.06,0.11
MS_syn,640,0.69,0.82,0.85,0.99,0.96,0.87,0.13,0.16,0.16,0.19,0.19,0.17,0.32,0.15,0.05,0.31,0.06,0.11
